[2026-03-17 13:53:34.132] [Download] === START === file=The Godfather - Home Movies.mkv fragment_size=131072 compression=true
[2026-03-17 13:53:34.134] [Download] All sources from Directory:
[2026-03-17 13:53:34.138] [Download]   32.195.67.201:6001 [load=0]
[2026-03-17 13:53:34.138] [Download]   100.54.135.117:6005 [load=0]
[2026-03-17 13:53:34.139] [Download]   54.236.243.227:6004 [load=0]
[2026-03-17 13:53:34.139] [Download]   44.192.106.49:6001 [load=0]
[2026-03-17 13:53:34.139] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 13:53:34.139] [Download]   3.234.226.220:6003 [load=0]
[2026-03-17 13:53:34.140] [Download]   44.220.89.93:6002 [load=0]
[2026-03-17 13:53:34.140] [Download]   13.220.244.217:6002 [load=0]
[2026-03-17 13:53:34.140] [Download] Using 8 source(s):
[2026-03-17 13:53:34.141] [Download]   32.195.67.201:6001 [load=0]
[2026-03-17 13:53:34.141] [Download]   100.54.135.117:6005 [load=0]
[2026-03-17 13:53:34.141] [Download]   54.236.243.227:6004 [load=0]
[2026-03-17 13:53:34.142] [Download]   44.192.106.49:6001 [load=0]
[2026-03-17 13:53:34.142] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 13:53:34.142] [Download]   3.234.226.220:6003 [load=0]
[2026-03-17 13:53:34.143] [Download]   44.220.89.93:6002 [load=0]
[2026-03-17 13:53:34.143] [Download]   13.220.244.217:6002 [load=0]
[2026-03-17 13:53:34.937] [Download] File size: 197256227 bytes (192633 KB)
[2026-03-17 13:53:34.946] [Download] Fragments: 1505 x 128KB, sources: 8
[2026-03-17 13:54:07.930] [FRAG] idx=79 offset=10354688 len=131072 source=3.234.226.220:6003 time_ms=2772 speed_KB/s=46 progress=5%
[2026-03-17 13:54:08.958] [FRAG] idx=86 offset=11272192 len=131072 source=13.39.21.10:6000 time_ms=1240 speed_KB/s=103 progress=5%
[2026-03-17 13:54:10.044] [FRAG] idx=78 offset=10223616 len=131072 source=44.192.106.49:6001 time_ms=4895 speed_KB/s=26 progress=5%
[2026-03-17 13:54:10.180] [FRAG] idx=81 offset=10616832 len=131072 source=13.220.244.217:6002 time_ms=3720 speed_KB/s=34 progress=5%
[2026-03-17 13:54:10.196] [FRAG] idx=88 offset=11534336 len=131072 source=13.39.21.10:6000 time_ms=1236 speed_KB/s=103 progress=5%
[2026-03-17 13:54:10.275] [FRAG] idx=85 offset=11141120 len=131072 source=44.220.89.93:6002 time_ms=2587 speed_KB/s=49 progress=5%
[2026-03-17 13:54:10.579] [FRAG] idx=87 offset=11403264 len=131072 source=3.234.226.220:6003 time_ms=2649 speed_KB/s=48 progress=5%
[2026-03-17 13:54:10.749] [FRAG] idx=83 offset=10878976 len=131072 source=32.195.67.201:6001 time_ms=4098 speed_KB/s=31 progress=5%
[2026-03-17 13:54:11.425] [FRAG] idx=91 offset=11927552 len=131072 source=13.39.21.10:6000 time_ms=1229 speed_KB/s=104 progress=5%
[2026-03-17 13:54:11.864] [FRAG] idx=64 offset=8388608 len=131072 source=54.236.243.227:6004 time_ms=12475 speed_KB/s=10 progress=5%
[2026-03-17 13:54:12.626] [FRAG] idx=92 offset=12058624 len=131072 source=44.220.89.93:6002 time_ms=2350 speed_KB/s=54 progress=5%
[2026-03-17 13:54:12.662] [FRAG] idx=95 offset=12451840 len=131072 source=13.39.21.10:6000 time_ms=1237 speed_KB/s=103 progress=6%
[2026-03-17 13:54:13.188] [FRAG] idx=93 offset=12189696 len=131072 source=3.234.226.220:6003 time_ms=2608 speed_KB/s=49 progress=6%
[2026-03-17 13:54:13.798] [FRAG] idx=90 offset=11796480 len=131072 source=13.220.244.217:6002 time_ms=3618 speed_KB/s=35 progress=6%
[2026-03-17 13:54:13.896] [FRAG] idx=98 offset=12845056 len=131072 source=13.39.21.10:6000 time_ms=1233 speed_KB/s=103 progress=6%
[2026-03-17 13:54:14.573] [FRAG] idx=94 offset=12320768 len=131072 source=32.195.67.201:6001 time_ms=3823 speed_KB/s=33 progress=6%
[2026-03-17 13:54:14.936] [FRAG] idx=89 offset=11665408 len=131072 source=44.192.106.49:6001 time_ms=4891 speed_KB/s=26 progress=6%
[2026-03-17 13:54:15.123] [FRAG] idx=97 offset=12713984 len=131072 source=44.220.89.93:6002 time_ms=2497 speed_KB/s=51 progress=6%
[2026-03-17 13:54:15.133] [FRAG] idx=101 offset=13238272 len=131072 source=13.39.21.10:6000 time_ms=1236 speed_KB/s=103 progress=6%
[2026-03-17 13:54:15.814] [FRAG] idx=99 offset=12976128 len=131072 source=3.234.226.220:6003 time_ms=2626 speed_KB/s=48 progress=6%
[2026-03-17 13:54:16.371] [FRAG] idx=105 offset=13762560 len=131072 source=13.39.21.10:6000 time_ms=1238 speed_KB/s=103 progress=6%
[2026-03-17 13:54:17.598] [FRAG] idx=107 offset=14024704 len=131072 source=13.39.21.10:6000 time_ms=1227 speed_KB/s=104 progress=6%
[2026-03-17 13:54:17.664] [FRAG] idx=100 offset=13107200 len=131072 source=13.220.244.217:6002 time_ms=3866 speed_KB/s=33 progress=6%
[2026-03-17 13:54:17.715] [FRAG] idx=104 offset=13631488 len=131072 source=44.220.89.93:6002 time_ms=2591 speed_KB/s=49 progress=6%
[2026-03-17 13:54:18.320] [FRAG] idx=84 offset=11010048 len=131072 source=100.54.135.117:6005 time_ms=10900 speed_KB/s=11 progress=6%
[2026-03-17 13:54:18.463] [FRAG] idx=106 offset=13893632 len=131072 source=3.234.226.220:6003 time_ms=2649 speed_KB/s=48 progress=6%
[2026-03-17 13:54:18.648] [FRAG] idx=102 offset=13369344 len=131072 source=32.195.67.201:6001 time_ms=4073 speed_KB/s=31 progress=7%
[2026-03-17 13:54:18.910] [FRAG] idx=108 offset=14155776 len=131072 source=13.39.21.10:6000 time_ms=1311 speed_KB/s=97 progress=7%
[2026-03-17 13:54:19.824] [FRAG] idx=103 offset=13500416 len=131072 source=44.192.106.49:6001 time_ms=4887 speed_KB/s=26 progress=7%
[2026-03-17 13:54:20.230] [FRAG] idx=114 offset=14942208 len=131072 source=13.39.21.10:6000 time_ms=1320 speed_KB/s=96 progress=7%
[2026-03-17 13:54:20.581] [FRAG] idx=110 offset=14417920 len=131072 source=44.220.89.93:6002 time_ms=2866 speed_KB/s=44 progress=7%
[2026-03-17 13:54:20.996] [FRAG] idx=112 offset=14680064 len=131072 source=3.234.226.220:6003 time_ms=2533 speed_KB/s=50 progress=7%
[2026-03-17 13:54:21.192] [FRAG] idx=109 offset=14286848 len=131072 source=13.220.244.217:6002 time_ms=3528 speed_KB/s=36 progress=7%
[2026-03-17 13:54:21.466] [FRAG] idx=116 offset=15204352 len=131072 source=13.39.21.10:6000 time_ms=1236 speed_KB/s=103 progress=7%
[2026-03-17 13:54:22.704] [FRAG] idx=120 offset=15728640 len=131072 source=13.39.21.10:6000 time_ms=1237 speed_KB/s=103 progress=7%
[2026-03-17 13:54:22.825] [FRAG] idx=113 offset=14811136 len=131072 source=32.195.67.201:6001 time_ms=4177 speed_KB/s=30 progress=7%
[2026-03-17 13:54:23.085] [FRAG] idx=117 offset=15335424 len=131072 source=44.220.89.93:6002 time_ms=2503 speed_KB/s=51 progress=7%
[2026-03-17 13:54:23.570] [FRAG] idx=96 offset=12582912 len=131072 source=54.236.243.227:6004 time_ms=11706 speed_KB/s=10 progress=7%
[2026-03-17 13:54:23.623] [FRAG] idx=118 offset=15466496 len=131072 source=3.234.226.220:6003 time_ms=2627 speed_KB/s=48 progress=7%
[2026-03-17 13:54:23.935] [FRAG] idx=121 offset=15859712 len=131072 source=13.39.21.10:6000 time_ms=1231 speed_KB/s=103 progress=7%
[2026-03-17 13:54:24.715] [FRAG] idx=115 offset=15073280 len=131072 source=44.192.106.49:6001 time_ms=4890 speed_KB/s=26 progress=7%
[2026-03-17 13:54:24.816] [FRAG] idx=119 offset=15597568 len=131072 source=13.220.244.217:6002 time_ms=3623 speed_KB/s=35 progress=8%
[2026-03-17 13:54:25.246] [FRAG] idx=126 offset=16515072 len=131072 source=13.39.21.10:6000 time_ms=1308 speed_KB/s=97 progress=8%
[2026-03-17 13:54:25.679] [FRAG] idx=123 offset=16121856 len=131072 source=44.220.89.93:6002 time_ms=2594 speed_KB/s=49 progress=8%
[2026-03-17 13:54:25.959] [FRAG] idx=125 offset=16384000 len=131072 source=3.234.226.220:6003 time_ms=2334 speed_KB/s=54 progress=8%
[2026-03-17 13:54:26.557] [FRAG] idx=129 offset=16908288 len=131072 source=13.39.21.10:6000 time_ms=1311 speed_KB/s=97 progress=8%
[2026-03-17 13:54:27.167] [FRAG] idx=122 offset=15990784 len=131072 source=32.195.67.201:6001 time_ms=4342 speed_KB/s=29 progress=8%
[2026-03-17 13:54:27.872] [FRAG] idx=132 offset=17301504 len=131072 source=13.39.21.10:6000 time_ms=1315 speed_KB/s=97 progress=8%
[2026-03-17 13:54:28.327] [FRAG] idx=128 offset=16777216 len=131072 source=13.220.244.217:6002 time_ms=3510 speed_KB/s=36 progress=8%
[2026-03-17 13:54:28.429] [FRAG] idx=131 offset=17170432 len=131072 source=3.234.226.220:6003 time_ms=2470 speed_KB/s=51 progress=8%
[2026-03-17 13:54:28.550] [FRAG] idx=130 offset=17039360 len=131072 source=44.220.89.93:6002 time_ms=2870 speed_KB/s=44 progress=8%
[2026-03-17 13:54:29.176] [FRAG] idx=134 offset=17563648 len=131072 source=13.39.21.10:6000 time_ms=1302 speed_KB/s=98 progress=8%
[2026-03-17 13:54:29.224] [FRAG] idx=111 offset=14548992 len=131072 source=100.54.135.117:6005 time_ms=10904 speed_KB/s=11 progress=8%
[2026-03-17 13:54:29.605] [FRAG] idx=127 offset=16646144 len=131072 source=44.192.106.49:6001 time_ms=4890 speed_KB/s=26 progress=8%
