[2026-03-17 05:20:50.999] [Download] === START === file=The.Godfather.Part.2.1974.1080p.BrRip.x264.BOKUTOX.YIFY.mp4 fragment_size=524288 compression=false
[2026-03-17 05:20:51.000] [Download] All sources from Directory:
[2026-03-17 05:20:51.004] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 05:20:51.005] [Download] Using 1 source(s):
[2026-03-17 05:20:51.005] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 05:20:51.256] [Download] File size: 2901310881 bytes (2833311 KB)
[2026-03-17 05:20:51.266] [Download] Fragments: 5534 x 512KB, sources: 1
[2026-03-17 05:23:06.606] [FRAG] idx=115 offset=60293120 len=524288 source=13.39.21.10:6000 time_ms=1144 speed_KB/s=447 progress=2%
[2026-03-17 05:23:07.747] [FRAG] idx=116 offset=60817408 len=524288 source=13.39.21.10:6000 time_ms=1140 speed_KB/s=449 progress=2%
[2026-03-17 05:23:08.875] [FRAG] idx=117 offset=61341696 len=524288 source=13.39.21.10:6000 time_ms=1126 speed_KB/s=454 progress=2%
[2026-03-17 05:23:10.742] [FRAG] idx=118 offset=61865984 len=524288 source=13.39.21.10:6000 time_ms=1866 speed_KB/s=274 progress=2%
[2026-03-17 05:23:11.856] [FRAG] idx=119 offset=62390272 len=524288 source=13.39.21.10:6000 time_ms=1113 speed_KB/s=460 progress=2%
[2026-03-17 05:23:13.004] [FRAG] idx=120 offset=62914560 len=524288 source=13.39.21.10:6000 time_ms=1147 speed_KB/s=446 progress=2%
[2026-03-17 05:23:14.140] [FRAG] idx=121 offset=63438848 len=524288 source=13.39.21.10:6000 time_ms=1135 speed_KB/s=451 progress=2%
[2026-03-17 05:23:15.286] [FRAG] idx=122 offset=63963136 len=524288 source=13.39.21.10:6000 time_ms=1146 speed_KB/s=446 progress=2%
[2026-03-17 05:23:16.441] [FRAG] idx=123 offset=64487424 len=524288 source=13.39.21.10:6000 time_ms=1153 speed_KB/s=444 progress=2%
[2026-03-17 05:23:17.579] [FRAG] idx=124 offset=65011712 len=524288 source=13.39.21.10:6000 time_ms=1137 speed_KB/s=450 progress=2%
[2026-03-17 05:23:18.723] [FRAG] idx=125 offset=65536000 len=524288 source=13.39.21.10:6000 time_ms=1143 speed_KB/s=447 progress=2%
[2026-03-17 05:23:19.856] [FRAG] idx=126 offset=66060288 len=524288 source=13.39.21.10:6000 time_ms=1133 speed_KB/s=451 progress=2%
[2026-03-17 05:23:20.988] [FRAG] idx=127 offset=66584576 len=524288 source=13.39.21.10:6000 time_ms=1130 speed_KB/s=453 progress=2%
[2026-03-17 05:23:22.134] [FRAG] idx=128 offset=67108864 len=524288 source=13.39.21.10:6000 time_ms=1145 speed_KB/s=447 progress=2%
[2026-03-17 05:23:23.199] [FRAG] idx=129 offset=67633152 len=524288 source=13.39.21.10:6000 time_ms=1064 speed_KB/s=481 progress=2%
[2026-03-17 05:23:24.342] [FRAG] idx=130 offset=68157440 len=524288 source=13.39.21.10:6000 time_ms=1143 speed_KB/s=447 progress=2%
[2026-03-17 05:23:25.493] [FRAG] idx=131 offset=68681728 len=524288 source=13.39.21.10:6000 time_ms=1149 speed_KB/s=445 progress=2%
[2026-03-17 05:23:26.644] [FRAG] idx=132 offset=69206016 len=524288 source=13.39.21.10:6000 time_ms=1150 speed_KB/s=445 progress=2%
[2026-03-17 05:23:27.795] [FRAG] idx=133 offset=69730304 len=524288 source=13.39.21.10:6000 time_ms=1150 speed_KB/s=445 progress=2%
[2026-03-17 05:23:28.942] [FRAG] idx=134 offset=70254592 len=524288 source=13.39.21.10:6000 time_ms=1146 speed_KB/s=446 progress=2%
[2026-03-17 05:23:30.099] [FRAG] idx=135 offset=70778880 len=524288 source=13.39.21.10:6000 time_ms=1156 speed_KB/s=442 progress=2%
[2026-03-17 05:23:31.151] [FRAG] idx=136 offset=71303168 len=524288 source=13.39.21.10:6000 time_ms=1051 speed_KB/s=487 progress=2%
[2026-03-17 05:23:32.218] [FRAG] idx=137 offset=71827456 len=524288 source=13.39.21.10:6000 time_ms=1067 speed_KB/s=479 progress=2%
[2026-03-17 05:23:33.371] [FRAG] idx=138 offset=72351744 len=524288 source=13.39.21.10:6000 time_ms=1153 speed_KB/s=444 progress=2%
[2026-03-17 05:23:34.549] [FRAG] idx=139 offset=72876032 len=524288 source=13.39.21.10:6000 time_ms=1177 speed_KB/s=435 progress=2%
[2026-03-17 05:23:35.696] [FRAG] idx=140 offset=73400320 len=524288 source=13.39.21.10:6000 time_ms=1147 speed_KB/s=446 progress=2%
[2026-03-17 05:23:36.847] [FRAG] idx=141 offset=73924608 len=524288 source=13.39.21.10:6000 time_ms=1150 speed_KB/s=445 progress=2%
[2026-03-17 05:23:37.996] [FRAG] idx=142 offset=74448896 len=524288 source=13.39.21.10:6000 time_ms=1147 speed_KB/s=446 progress=2%
[2026-03-17 05:23:39.150] [FRAG] idx=143 offset=74973184 len=524288 source=13.39.21.10:6000 time_ms=1154 speed_KB/s=443 progress=2%
[2026-03-17 05:23:40.296] [FRAG] idx=144 offset=75497472 len=524288 source=13.39.21.10:6000 time_ms=1146 speed_KB/s=446 progress=2%
[2026-03-17 05:23:41.459] [FRAG] idx=145 offset=76021760 len=524288 source=13.39.21.10:6000 time_ms=1163 speed_KB/s=440 progress=2%
[2026-03-17 05:23:42.624] [FRAG] idx=146 offset=76546048 len=524288 source=13.39.21.10:6000 time_ms=1164 speed_KB/s=439 progress=2%
[2026-03-17 05:23:43.780] [FRAG] idx=147 offset=77070336 len=524288 source=13.39.21.10:6000 time_ms=1156 speed_KB/s=442 progress=2%
[2026-03-17 05:23:44.926] [FRAG] idx=148 offset=77594624 len=524288 source=13.39.21.10:6000 time_ms=1144 speed_KB/s=447 progress=2%
[2026-03-17 05:23:46.076] [FRAG] idx=149 offset=78118912 len=524288 source=13.39.21.10:6000 time_ms=1149 speed_KB/s=445 progress=2%
[2026-03-17 05:23:47.228] [FRAG] idx=150 offset=78643200 len=524288 source=13.39.21.10:6000 time_ms=1152 speed_KB/s=444 progress=2%
[2026-03-17 05:23:48.439] [FRAG] idx=151 offset=79167488 len=524288 source=13.39.21.10:6000 time_ms=1209 speed_KB/s=423 progress=2%
[2026-03-17 05:23:49.515] [FRAG] idx=152 offset=79691776 len=524288 source=13.39.21.10:6000 time_ms=1076 speed_KB/s=475 progress=2%
[2026-03-17 05:23:50.669] [FRAG] idx=153 offset=80216064 len=524288 source=13.39.21.10:6000 time_ms=1153 speed_KB/s=444 progress=2%
